name,country,room_type,nr_nights,date,traveler_type,title_review,pos_review,neg_review,hotel_response,score
Bretalisa,United States,Double Room with Terrace,3 nights ·,February 2025,Couple,Superb,The room was great and we really loved having the balcony so we could watch the Sun and also see the seagulls! There was lots of hot water and breakfast was awesome,The only if she had was that the bed seem to be extremely stiff. My wife got an extra blanket and put it under the sheets and that worked like a charm! We suspected that the mattress is actually upside down but we didn't have a long stay so we didn't report it.,,9.0
Elaine,United Kingdom,Budget Double Room,3 nights ·,February 2025,Couple,Great retro hotel in excellent location. Would recommend,"Quirky, retro hotel. Very comfortable. Great location and really nice and helpful staff",Barh shape made it slippery when getting in and out. Breakfast could be better,,9.0
Markaya,Belgium,Budget Double Room,2 nights ·,February 2025,Solo traveller,Good,"Staff were largely friendly and helpful, great location near transport and the centre.","I requested a late check out for a business meeting. I asked at first for 2.5 hours but then asked again for only 1. After multiple requests, one staff said I could stay an extra 30 minutes. The next day, staff called the room repeatedly to tell me to leave despite this. There was no other quiet area to accommodate my needs. Had I known they would be so inflexible, I would have booked elsewhere. I wouldn't recommend staying here in case something comes up and you need extra time because of illness, work, or simply for convenience as most other hotels accommodate. If you stay to 12:00 on the dot, you can expect an immediate phone call to push you out.",,7.0
Jmaresq,Austria,Budget Single Room,4 nights ·,February 2025,Solo traveller,Good,Location is very good.,One could hear the other guests as the doors are very thin.,,7.0
Doporto,Spain,Budget Double Room,2 nights ·,February 2025,Couple,Good,The price and location,"The breakfast was ok, but i would have enjoyed if it had had more kinds of food",,7.0
Js,United Kingdom,Superior Double Room,2 nights ·,January 2025,Couple,Superb,Everything,Nothing,,9.0
Andrea,Germany,Budget Double Room,1 night ·,January 2025,Solo traveller,Superb,Cutest hotel and people. obrigado,,,9.0
Darren,United Kingdom,Budget Double Room,2 nights ·,January 2025,Couple,Only place to stay in Porto,Great staff and breakfast,Quiet central,,9.0
Christopher,United Kingdom,Budget Single Room,2 nights ·,January 2025,Solo traveller,"Convenient , Comfy, Quirky Hotel . Loved it",Well located for all the sights and close by to some great bars restaurants and coffee shops. It has some really quirky items on display around the hotel which I really liked. Staff are helpful and engaging . I had booked a single but got a large double room with a great shower . Very happy and would recommend and will stay again.,Nothing,,8.0
Iana,Malta,Basic Double Room,1 night ·,January 2025,Couple,Good,"After reading reviews we had some expectations. Design is unique, retro museum. But then we had to struggle with water in our room, the toilet didn’t flush and it was very awkward - calling for help after doing your little business there, you know. They said “the water was closed”, so casually, like we were supposed to know it and then to find a way to open it. Dental kit was not provided. AC didn’t work for heating. After asking at the reception, they sent someone to fix it, but nothing changed, we had to turn on the old school heater. Luckily it worked and it wasn’t cold in the room. In general it wasn’t bad. But we wouldn’t stay again.",,,7.0
Karen,Ireland,Deluxe Double Room with Balcony,1 night ·,November 2024,Couple,Quirky Hotel,This hotel is very unique with lots of memorabilia on every floor. The hotel was quiet and the staff was helpful. Paid parking is down the block. Good location for walking. Some nice restaurants nearby.,"There is no place to drop off/park in front of the hotel. This is very inconvenient as you need to go in to find out where to park. Our A/C did not work. The two elevators can be quite busy in the morning and you have to wait awhile, (or take the 6 flights of stairs like we did!)",,7.0
Ferah,Turkey,Basic Double Room,3 nights ·,January 2025,Couple,Very good,Good location with a great terrace. The hotel was full of vintage artifacts.,,,8.0
Stellan,United Kingdom,Budget Double Room,4 nights ·,January 2025,Couple,Superb,Excellent location. Very clean hotel staff very friendly Good value for money,Bed was a little hard,,9.0
Alexander,Sweden,Budget Single Room,1 night ·,January 2025,Solo traveller,Good,Location really great!,Single room was very small. But that’s what I booked so no complaining haha!,,7.0
Burak,Turkey,Budget Single Room,1 night ·,January 2025,Solo traveller,Very good,There is very good location,There is wifi not good actually also breakfast was not eneugh.,,8.0
Peter,Netherlands,Budget Double Room,3 nights ·,January 2025,Couple,"Small room, nice location","Location, funny interior in the staircase.","Small room, Small bed if you are >1.90m. No coffee in room. Door does not isolate noise from hall.",,7.0
Michael,United Kingdom,Family Suite,1 night ·,December 2024,Family,Very good,Great location and breakfast. Nice staff and massive bedroom.,The fact that the room key had to be left and picked up from reception each time.,,8.0
Juan,Portugal,Budget Double Room,4 nights ·,December 2024,Couple,Estadia óptima no centro do porto,A decoração do hotel,Parecia mais novo nas fotos,,8.0
Garry,United Kingdom,Budget Double Room,3 nights ·,December 2024,Couple,Good,Great,Room a bit dated,,7.0
Ricardo,Portugal,Budget Double Room,4 nights ·,November 2024,Couple,"You should visit Porto, and Pao de Acucar Hotel is a great place to stay.","Everything. But especially the Location, staff, and good breakfast (always being refiled).",,,9.0
Morteza,Netherlands,Budget Single Room,7 nights ·,December 2024,Solo traveller,Great value for money,"Staff are great, super helpful, approachable and quick. The local was also amazing, so many bus stops and metro around.",The staff communicate with each other with walkie talkies. You can hear it from rooms during morning while the cleaning is taking place.,,8.0
Marta,Portugal,Family Suite,1 night ·,December 2024,Family,Very good,"Staff, location, breakfast, cleanliness",Nothing,,8.0
Hsu,United States,Budget Double Room,2 nights ·,December 2024,Solo traveller,My stay was fantastic due to the unbeatable location and exceptional service,"The location is simply unbeatable – with the metro station just a stone's throw away and several key attractions (City Hall, the most beautiful McDonald, Livraria Lello etc) within walking distance, it made exploring the city incredibly convenient. What truly made my stay special was the welcoming and friendly staff. They were always ready with a smile. The room itself was spotless and well-maintained. It was clear that attention to detail was a priority here, with comfortable bedding and all the necessary amenities for a pleasant stay. After a day of exploring, coming back to such a clean and cozy space was the perfect end to my day. Overall, I would highly recommend this lodging to anyone visiting Porto. Its prime location, exceptional service, and clean, comfortable rooms make it an ideal choice for travelers.","While my overall experience was fantastic, there was one aspect that I found a bit inconvenient. The hotel requires guests to return their room key to the counter each time they leave. While I understand the security benefits, it did feel like an unnecessary step that added a slight hassle to an otherwise smooth stay. It would be more convenient if guests could retain their keys for the duration of their stay with something they won't be able to replicate in key shops.",,8.0
Nicole,Brazil,Budget Double Room,1 night ·,December 2024,Couple,Very nice hotel,Very nice location and staff. Facilities were very clean and with a nice scent.,,,9.0
Vas_kout_gr,Greece,Budget Double Room,1 night ·,December 2024,Couple,Travel back to time,A unique atmosphere. Great breakfast.,,,8.0
Murilo,Brazil,Triple Room,1 night ·,December 2024,Family,"Big room, renovated bathroom and elevator","The room was big with two double beds, fully renovated bathroom, elevator is something that is not very common for the area considering the price. Did not had breakfast so can’t comment about it.",Nothing came up very strong but the key being a giant fob and having to return every time you go out.,,9.0
Mervenur,Germany,Budget Double Room,3 nights ·,November 2024,Group,Sehr gute Wahl für 3 Tage touristischem aufenthalt in Porto!,The Hotel was in the center of everything. We didntl used any metro. We could walk everywhere in 10 min Walkingdistances or 3€ Uber rights. That was the perfect location for Porto!,"We had do give up everytime the key for the room, so its a bit exhausting to give and take it everytime if you leave the hotel.",,9.0
Smita,India,Twin Room,1 night ·,December 2024,Couple,Good place to stay in Porto. Excellent location.,"Location, room, access to the metro station",WiFi was weak,,8.0
Robert,United States,Superior Double Room,2 nights ·,November 2024,Couple,Superb,"Great location, quirky theme, clean and spacious room.",,,9.0
Jayne,United Kingdom,Budget Single Room,1 night ·,November 2024,Solo traveller,"Quirky hotel in the centre of Oporto, friendly and helpful staff, great value for money.","Staff were very welcoming and helpful. The location and value for money was excellent. I loved the quirky, 1970's vibe and memorabilia dotted around. Breakfast had an excellent selection, I would definitely stay here again.",,,9.0
Jane,Ireland,Budget Single Room,2 nights ·,November 2024,Solo traveller,Good central location,Central,A lot of single use plastic Towels weren’t great Lamp in the room had a broken cable- could be dangerous,,8.0
Halyna,United Kingdom,Single Room,4 nights ·,November 2024,Couple,Great location and very friendly staff,Breakfast was very good except for the coffee.,Bed mattress was hard.,,8.0
Max,Switzerland,Family Suite,3 nights ·,November 2024,Family,"Great location, friendly staff, rooms can be refreshed but good overall","Great Location, walk distance to all the key points to see Friendly Staff, very polite and could answer all the questions or call us a taxi etc Breakfast ok nothing extraordinary but you have all that you might need even if you are vegan or woke","outdated rooms, it will make a huge difference just by replacing the matresses.. the furnitures well they are outdated but functional so is not critical the shower although the seems clean they are moldy on the tiles joints i believe is not a complicated/expensive thing to change and it will make a positive change",,7.0
Louise,United Kingdom,Budget Double Room,4 nights ·,November 2024,Couple,"Good location, staff incredibly helpful.",Staff were amazing. Excellent location.,Breakfast room very outdated. Says there is a bar but it was never open.,,8.0
Neil,United Kingdom,Budget Double Room,2 nights ·,October 2024,Couple,Good value and location but lack of value parking is a challenge if you have a car,Good location in Porto,No parking and the street access was restricted when we arrived,,8.0
Joanne,United Kingdom,Superior Double Room,3 nights ·,October 2024,Couple,Very good,"The location, staff and breakfast were.great",No coffee.or.milk.in rooms,,8.0
Virginijus,Lithuania,Budget Double Room,2 nights ·,October 2024,Couple,Very good,Good location.,No parking possibility. Very big problem to find parking place so better to go without car to this hotel. Breakfast not so good as was indicated. Better to go outside for breakfast.,,8.0
Cirrus_aviaticus,Switzerland,Budget Single Room,2 nights ·,October 2024,Couple,Perfect for a city-trip,perfect location clean rooms friendly personal,,,8.0
Terry,Canada,Budget Single Room,2 nights ·,October 2024,Solo traveller,It’s good enough for two nights.,I liked the night shift staff Larissa. She was very helpful and very patient with my questions. She made my stay more pleasant.,The room is a bit too small.,,8.0
Courtney,Japan,Budget Double Room,3 nights ·,October 2024,Couple,Very good,"The staff was incredibly nice and very fast! The room was large, comfy, and quiet. Location was excellent!","I wish the room had coffee. I appreciate the machine was so close and inexpensive, but I wish I didn’t have to leave the room!",,8.0
Andrew,United Kingdom,Basic Double Room,1 night ·,October 2024,Couple,"Well located, well priced but a bit surreal if you’re not expecting it 😀","Quirky, efficient and friendly staff, massive bed!",A bit dated in some parts,,8.0
Martin,United Kingdom,Budget Double Room,1 night ·,October 2024,Couple,One of the most memorable places I've ever stayed! Loved it.,"This hotel is a real one-off. The gorgeous art deco staircase is almost worth a visit in itself, and the fabulous collection of kitsch antiques and memorabilia filling the public areas is unique and delightful. Very comfortable room, great bed, massive bathroom (to be fair they upgraded us for free into 'the best' suite in the building, so we were maybe just lucky). I like the location, and breakfast was pretty good. Pleasant staff, most of whom seem to speak good English.",It's a shame the rooftop bar wasn't open for a nightcap.,,9.0
Miriam,United States,Budget Double Room,6 nights ·,October 2024,Group,It was great,Lication,"Toilet was running, we had to jiggle the button in a certain way to make it stop. I",,8.0
Marina,Norway,Superior Double Room,2 nights ·,October 2024,Couple,We would stay here again!,"Location was excellent, the room war large and had all we needed, the staff was service minded.",-,,8.0
Joanne,Canada,Budget Double Room,4 nights ·,September 2024,Group,A Hotel with Photographic Opportunities,Great location and staff were very helpful. An interesting display of memorabilia on each floor. This display provided numerous photo ops for memories!,Nothing,,8.0
Philip,United Kingdom,Basic Double Room,3 nights ·,October 2024,Family,Superb,"Lovely clean bright rooms, friendly staff and excellent location. Highly recommended.",,,9.0
Mary,Ireland,Budget Double Room,4 nights ·,October 2024,Couple,I would recommend this hotel and would stay there again.,"Excellent location for food and for general tourist rambling/access to locations of interest. Very helpful staff, interesting hotel - not luxury (but that's not what we wanted anyway) but is clean, comfortable and does exactly what is required.",I would say that the breakfast room probably needs better coffee and tea facilities - the food is perfectly acceptable but the volume of guests being served require at least one more coffee machine.,,8.0
Noel,Canada,Budget Double Room,3 nights ·,October 2024,Couple,Very good,"Great central location,. Room clean , comfortable. Decent breakfast, staff were friendly",,,8.0
Terry,Canada,Budget Double Room,2 nights ·,October 2024,Couple,Good,Location,Internet was terrible and TV stopped working after first dat. No signal.,,7.0
Olev,Finland,Basic Double Room,1 night ·,October 2024,Couple,Decent place to stay,Good location and breakfast. Large room. Parking was also convenient even for a larger car.,WiFi was slow,,9.0
Thomas,United Kingdom,Twin Room,3 nights ·,October 2024,Group,Superb,"Great location, lovely breakfast, nice room and bathroom.","Quite noisy at night, bottle recycling opposite",,9.0
David,United Kingdom,Budget Double Room,3 nights ·,October 2024,Couple,Good location,It’s location was very central,Giving the key every time we left. When the reception was busy it was hard work.,,7.0
Carmel,Canada,Superior Double Room,3 nights ·,September 2024,Couple,Funky hotel great location and staff,"This is a quirky hotel with vintage bumper cars, a museum of weird stuff and an exciting unusual atmosphere. Staff were lovely and really helpful, breakfast was wonderful and the location was near the station and right in the centre of town. a short, interesting walk brings you to the river.",We liked everything!,,9.0
Carla,United States,Family Suite,2 nights ·,October 2024,Family,Very good,"We loved the staff, and breakfast was pretty good!",I think it was a little pricey.,,8.0
Mooney,United States,Basic Double Room,2 nights ·,October 2024,Couple,Great location for walking historic Porto,Our room was very well equipped and large by Portugal standards,The lobby is very retro. Quirky. Not for everyone,,9.0
John,United Kingdom,Budget Single Room,2 nights ·,October 2024,Solo traveller,Good,,"Poor TV reception, not a big thing for me but it was sub standard.",,7.0
Annamarie,Canada,Budget Double Room,1 night ·,October 2024,Couple,Staff was wonderful. Hotel was not appealing and the room we got was so tight and small for the money charged.,Location,Room extremely small,,7.0
Garfield,United Kingdom,Budget Double Room,2 nights ·,September 2024,Couple,Quirky hotel with nice staff.,"Good location, good facilities. Excellent breakfast with wide range of fresh food.",No WiFi in bedroom - had to sit near stairs. This is not good enough for a hotel of this rating.,,8.0
Marica,Australia,Budget Double Room,6 nights ·,September 2024,Solo traveller,Beautiful hotel experience in a beautiful city.,The location was excellent. Walking distance to all the highlights and the restaurants. All staff were extremely friendly and helpful. I felt very safe in this hotel. I highly recommend this hotel.,Everything was perfect,,9.0
Debra,United States,Twin Room,5 nights ·,September 2024,Group,"Felt the property was a little too expensive for value, but in general it worked for us",Room was very large. Quirky 1950 type atmosphere Location clean. I think they gave us a larger room than we booked which was appreciated,Breakfast options poor. Room smelled musty. Bed linens and towels old. Bed was not very comfortable,,8.0
Barry,Ireland,Basic Double Room,1 night ·,September 2024,Couple,Reasonably good,Convenient to city centre,No restaurant,,7.0
Langley,United Kingdom,Superior Double Room,2 nights ·,September 2024,Couple,excellent . Staff wonderful ad hotel location great,"staff were excellent , friendly, helpful and very efficient. Breakfast great with plenty for vegetarians. Mid century modern decor and vibe of the hotel is wonderful and very unique",all excellent . The only thing that could have made it better would have been carrying n the midcentury modern theme into the hotel rooms,,9.0
Helen,Malta,Basic Double Room,7 nights ·,September 2024,Group,"Friendly staff, central location and a comfy room all helped to make our stay in Porto a memorable o",Breakfast was up to standard and couldn't be faulted. We enjoyed a hearty breakfast every day of our stay.,"We had some issues with the bathroom: water leakage, unsteady toilet seat, blocked sink.",,8.0
Darcy,Ireland,Budget Double Room,7 nights ·,September 2024,Couple,"Enjoyed stay, staff excellent and English good - only downside was breakfast.",Location grand,Breakfast,,7.0
Elliott,United Kingdom,Superior Double Room,3 nights ·,September 2024,Couple,Great location and staff,Great location and a super funky hotel with lots of decoration to make you smile. All staff were really friendly and helpful,The bed was a bit uncomfortable.,,7.0
Sonja,Iceland,Family Suite,3 nights ·,September 2024,Family,Very good,Location is great and the room was very spacious (family room w 1 double bed and 2 single beds). I especially liked the pilllows and that there were 2 for each person for some reading in bed. Everything was clean but maybe some deep cleaning in the bathroom would be needed. The floors are tiled and I liked that.,The beds (mattress) was rather stiff/hard but I find that common in hotels in Italy/Spain/Portugal The wifi (room on 4th floor close to the lift) was rather slow.,,8.0
Ringrose,United States,Budget Single Room,1 night ·,September 2024,Solo traveller,Management policy on clothes washing is unfriendly.,"First-class location, close to Trinidade metro junction station and only ten minutes walk to cathedral.","No free bottled water, no free tea/coffee in the room. More significant, though, is a notice in the room that IF guests want to wash any clothes in their room, the hotel will make a VERY substantial charge. Yet I do not think this is mentioned in the hotel information when making a reservation.",,8.0
Lil,Australia,Budget Double Room,2 nights ·,September 2024,Couple,Very good,location was excellent,expensive for the type of room. Had a stuffy smell,,8.0
Kristine,United States,Budget Single Room,3 nights ·,September 2024,Solo traveller,Wonderful location and helpful staff,Great location. Nice enough rooms but expensive for the price. The staff was great. There was a problem with my reservation and Rafael and Sarissa were very helpful in getting it sorted out for me.,"For the price paid, I think breakfast should be included. I would stay at the hotel again but not for that price.",,7.0
Sara,United Kingdom,Superior Double Room,4 nights ·,September 2024,Couple,Very good,Room was very spacious with large terrace. Staff were helpful and friendly. Friendly and welcoming rooftop terrace bar with lovely lady bar attendant. Prices reasonable in bar. Quirky decorations around hotel! Lots of restaurants and bars close by. Easy downhill walk to river with all it's attractions.,Breakfast had limited and unchanging choice but lots of different cakes though!,,8.0
Carl,United Kingdom,Budget Double Room,2 nights ·,September 2024,Couple,Very enjoyable stay in quirky hotel,"A quirky great hotel with lots of character. Great facilities in the room with a/c, safe, fridge, and kettle. Unusual to get all these amenities in a 3 star hotel. We had a quiet inner courtyard room on a higher floor. Good quality breakfast with plenty of choice. Central location. Would definitely stay here again.",,,9.0
Naira,Armenia,Budget Double Room,3 nights ·,September 2024,Couple,Superb,"location , room",,,9.0
Eleonore,Ireland,Budget Double Room,2 nights ·,September 2024,Couple,Quirky hotel in the heart of Porto,"Great location, quirky decor in the corridor, super friendly staff.",Our room was quite basic and there was no iron - we had to use an ironing service.,,7.0
Alan,United Kingdom,Triple Room,4 nights ·,September 2024,Group,Superb,"We had a room for three which actually has a separate room for the third guest. Location was very good, with many restaurants within a short walk.",I found the beds a bit too firm.,,9.0
Mary,United Kingdom,Superior Double Room,3 nights ·,September 2024,Couple,Good location for walking,Quirky design,Up hill,,9.0
Tomaž,Slovenia,Budget Double Room,4 nights ·,August 2024,Couple,Porto is nice,super,the smell in the room,,8.0
Maria,United Kingdom,Budget Double Room,4 nights ·,July 2024,Family,Amazing place & location,Excellent collectionist hotel!,A few things were a bit dated and could be updated,,9.0
Duncan,United Kingdom,Budget Double Room,1 night ·,August 2024,Group,It was wonderful overall!,I thought the staff were very nice and helpful. The hotel was clean and organised and it was also a little quirky!,"I think better communication on things like WiFi, air-con remotes and things like the mibi-fridge and laundry.",,9.0
May-liss,Norway,Deluxe Double Room with Balcony,2 nights ·,August 2024,Couple,"Fantastic hotel, close to everything you need with a personell who are friendly and service minded!","It was clean, good breakfast and nice personell.","We had assumed that upgrading to a room with balcony, the balcony would be big enough to sit outside. It worked nicely to place 2 normal chairs there for a little while.",,9.0
Ari,Israel,Budget Double Room,7 nights ·,August 2024,Couple,"Very good 3 stars hotel, excellent location , comfortable room, good breakfast, friendly staff.","Very good location. Very good , spacious and quiet room. Very friendly staff. Interesting decoration (deco-style) Many restaurants and bars nearby, with a variety of possibilities (meat, fish, risotto, pasta, sandwiches, Francesinha,...)","The breakfast is good. However, they could vary more from day to day. I spent there 7 days, and the breakfast doesn't change from day to day. Like, they could vary the fruits ,vegetables or eggs (we had scrambled eggs every day). Again, the breakfast is good, fresh, clean , tasty. But, after spending 3-4 days in a hotel, I would expect for more variations after a few days.",,8.0
Elena,Spain,Family Suite,3 nights ·,August 2024,Family,A pleasant stay in a very well located vintage hotel,The location,"The furniture and devices, pretty old",,9.0
Rebecca,United Kingdom,Budget Single Room,3 nights ·,August 2024,Solo traveller,"Great central stay, would highly recommend.",Room was clean and tidy and had everything you need. It was also very private and quiet which was great. The location was fantastic a moments walk from great restaurants and bars and not to far from key attractions. Staff were welcoming and friendly. The rooftop bar was lovely and specifically the staff there were great. The decor provided some great character to the property.,It felt a little strange having to leave the key at the front door each time you left but not too sure how strictly this is enforced.,,9.0
Nina,Denmark,Budget Single Room,1 night ·,July 2024,Family,Very good,Very special hotel close to downtown. Ok clean and a nice private roof top terrace in the evening. Breakfast ok continental.,,,8.0
Manabu,Japan,Quadruple Room,3 nights ·,August 2024,Group,Enjoyed comfortable stay,"Good location, good staff communication",,,9.0
Elizabeth,Ireland,Twin Room,3 nights ·,August 2024,Couple,Highly recommended.,Everything was perfect. Location was brilliant Room was large and very comfortable Could regulate air conditioning to suit your needs. Breakfast was tasty.Staff were very helpful when asked for advice. Lovely roof top bar with good view of city at night.,A view from the window was not possible due to exterior blinds.,,9.0
Charles,Spain,Budget Single Room,1 night ·,August 2024,Solo traveller,Superb,I liked the location. The breakfast was good value. I like Porto very much.,,,9.0
Renaflor,United Kingdom,Family Suite,1 night ·,August 2024,Group,Would visit again,I liked that it was in the centre and it is very accessible.,,,9.0
Sveinn,Iceland,Budget Single Room,7 nights ·,August 2024,Solo traveller,Very good,,"Workers emptying trash very early outside with terrible noise, did happen two timid in á week.",,8.0
Chad,United States,Budget Double Room,1 night ·,July 2024,Couple,Superb,"The stay was great, but the gentleman on the roof top restaurant really made the stay for us. He was amazing, can’t express it enough.",Check in was a bit odd and having to leave the key at the front desk was odd.,,9.0
Denise,Canada,Budget Double Room,2 nights ·,August 2024,Couple,Good,Location,Parking advertised as free but it wasn’t,,7.0
Gudlaugur,Iceland,Budget Single Room,7 nights ·,July 2024,Solo traveller,"Great staff, the room was clean and in good size.",Location was great,,,9.0
Paola,United Kingdom,Budget Single Room,1 night ·,July 2024,Solo traveller,Portuguese people are the best they would anything to help❤️❤️❤️🇵🇹🇵🇹🇵🇹🇵🇹,Everything,Not applicable,,8.0
Jacqui,United Kingdom,Superior Double Room,4 nights ·,July 2024,Couple,Superb,"Room was high standard, appeared to have been recently refurbished. Huge, very comfortable bed. Quirky decor in communal areas . Breakfast was ok",,,9.0
Mederic,Belgium,Budget Double Room,2 nights ·,July 2024,Couple,"Very nice stay, staff is great and the place is well located.","Very nice decoration, room, and breakfast. I would recommend for a short stay in Porto. It was a fun place and the staff was very nice.","The room was quite small and the bathroom too. The bar inside the room is quite expensive... It is ok for a short stay, all the necessary stuff is there but don't expect more.",,9.0
Phil,Ireland,Basic Double Room,5 nights ·,July 2024,Couple,"Good location, helpful staff and nice breakfast",,Pictures used didn't reflect the faculties available for all guests,,8.0
Gonzalo,Spain,Budget Double Room,2 nights ·,July 2024,Couple,worth the price,Extremely clean and size of room was excellent,All was fine,,8.0
Nésstor,Colombia,Budget Double Room,2 nights ·,July 2024,Couple,Very good,Google ubication,They can improve the breakfast a little,,8.0
Corinne,United States,Quadruple Room,3 nights ·,July 2024,Family,First stop of our Portugal family trip and the staff made us feel very welcome and comfortable.,"Nice big room, complimentary snacks and drinks were lovely, the lobby vintage toys were very fun and the roof top patio was beautiful. The location was great!",The rooms were a bit dated and the beds were quite hard but clean.,,7.0
César,Portugal,Budget Double Room,3 nights ·,June 2024,Group,Superb,"Central location. Room was very spacious and well cleaned. Hotel has a vintage design, which provides an interesting experience. Breakfast was very good, with lots of options. Staff were friendly.",,,9.0
Srishti,United Kingdom,Budget Double Room,2 nights ·,July 2024,Couple,Cute artsy hotel,"Excellent location, very central in Porto. Rooms were spacious and clean.",,,8.0
Zuzana,Czech Republic,Budget Double Room,3 nights ·,July 2024,Couple,Superb,"The most valuable was its position - right in the city centre, additionaly we appreciated that the room was nicely clean every day😊.",,,9.0
Valentina,North Macedonia,Budget Double Room,2 nights ·,July 2024,Group,Good stay,It was a pleasent stay. Great location.,"Didn't like the lobby, it was weird.",,8.0
K,United Kingdom,Budget Double Room,3 nights ·,July 2024,Couple,"Simple room, reasonable breakfast, centrally located","Breakfast is served from 7.30 am, it would be useful to have the possibility to start the breakfast from 7 am. The room was simple but clean.",It is shame that the hot buffet option at the breakfast was quite cold before 9 am.,,7.0
Sriganesh,United States,Twin Room,2 nights ·,July 2024,Family,Amazing stay at a great family friendly hotel.,The location is centrally located and very convenient access to all activities in the area.,Bathroom did not have a latch. Swimming pool but not a deal breaker at all.,,8.0
Helen,United Kingdom,Budget Double Room,1 night ·,June 2024,Couple,Superb,Fabulous location for central Porto.but room was quiet Quirky decor. Good breakfast,,,9.0
Peter,United Kingdom,Budget Double Room,2 nights ·,July 2024,Group,EXCELLENT,"LOCATION WAS EXCELLENT ,ROOM VERY LARGE",I HAVE AN AMOUNT OF £55.11 PENDING ON MY DEBIT CARD FROM THE HOTEL I DONT KNOW WHY,,9.0
Wolfie,South Africa,Budget Double Room,1 night ·,June 2024,Couple,Enjoyed location.,Good breakfast,,,9.0
Reece,United Kingdom,Budget Double Room,3 nights ·,July 2024,Couple,Good value with great location and amenities.,"Suitable location for our first trip, area felt safe, lively, and clean.",Bathroom floor could have been cleaned a little better.,,9.0
Michelle,United Kingdom,Twin Room,2 nights ·,June 2024,Group,Good,"good location, friendly staff, clean and functional room. Very qirky and fun decor in social areas.",,,7.0
Judy,Canada,Budget Double Room,4 nights ·,June 2024,Couple,Excellent overall!,Excellent property that surprised us with a free upgrade. Room was outstanding with a huge outdoor furnished balcony! Great location and interesting vintage decor in lobby and hallways.,No complaints.,,9.0
Elaine,Malta,Family Suite,2 nights ·,June 2024,Family,Cute and quirky old fashioned hotel,Cute and quirky old fashioned hotel. The kids loved all the cars and antiques on display. Very clean spacious room and clean hotel in general. Impeccable location!,,,9.0
Suvash,Portugal,Family Suite,1 night ·,June 2024,Family,Superb,"Excellent location and economic, worthy to pay 😊",,,9.0
Rui,Portugal,Budget Double Room,2 nights ·,June 2024,Couple,Superb,"Staff is really friendly. Superb location, good vibe",,,9.0
Gillian,United Kingdom,Budget Double Room,4 nights ·,June 2024,Couple,Enjoyable stay over Sao Jao weekend,"Very clean, nice breakfast and good location.",Nothing really. Maybe bar could have been open longer hours as it is a lovely roof terrace,,8.0
Hayley,United Kingdom,Deluxe Double Room with Balcony,5 nights ·,June 2024,Couple,Fabulous hotel and wonderful Porto,"Location is brilliant, and the team were very friendly",Was told we had a city view but it’s just a street view however not a bad view,,8.0
Vladimir,United States,Twin Room,4 nights ·,May 2024,Couple,Everything was good and as expected for this price and hotel's category.,Breakfast was dissent. Location is perfect. Room was clean and spacious.,Traffic around the hotel entrance.,,8.0
Steven,United States,Superior Double Room,3 nights ·,June 2024,Couple,Loved the stay!,"great location, super staff, size of the room (it was huge!), and breakfast buffet was good.",nothing.. all was good.,,9.0
Alistair,United Kingdom,Budget Double Room,2 nights ·,June 2024,Couple,"Unique hotel, great neighbourhood, wonderful city",The staff and the unique atmosphere,,,9.0
Neville,United Kingdom,Budget Double Room,3 nights ·,June 2024,Couple,A great hotel for those who like looking at old unique artifacts in a comfortable environment.,"A fascinatingly unusual hotel, and for our second visit lost none of its uniqueness. Staff good and friendly. Room ginormous (almost too big !!) Good range of breakfast food.",The bin men collecting bins in middle of night ! but not a serious problem.,,9.0
Guðbjartsdóttir,Iceland,Budget Double Room,4 nights ·,June 2024,Solo traveller,Superb,Very nice hotel,The balcony was just open from 21.00 - 24.00 should be open much more at least from 15.00 do be able to enjoy the weather,,9.0
Neville,Italy,Budget Double Room,1 night ·,June 2024,Couple,Great stay in the bumper car hotel.,Superb Location. Breakfast. Staff. Style. Bathroom.,Nothing.,,9.0
John,New Zealand,Budget Double Room,3 nights ·,June 2024,Couple,Easy to get to everything,Great retro accommodation. A huge room.,Nothing,,9.0
Thecla,Ireland,Twin Room,4 nights ·,May 2024,Group,Superb,Bedroom was excellent,Breakfast room could have been better,,9.0
G,Australia,Two-Bedroom Suite,2 nights ·,May 2024,Family,Good for more than two guests.,Location and configuration of the rooms for a family or more than 2 guests.,- Aircon did not work - Missing remote control but no compensation. - Parking is a challenge around the property. - Alternative is using private parking that is a bit costly. - Need to schedule for breakfast due to the small restaurant.,,8.0
Kari,Canada,Basic Double Room,3 nights ·,May 2024,Family,Very good,Very cool hotel with all the antique items everywhere. The staff were excellent.,The tub was very difficult for an older person to get in and out of.,,8.0
Sylvie,Canada,Twin Room,10 nights ·,May 2024,Group,"Nice hotel, great location, quiet","We were upgraded to a really nice room with a roof terrace and great view. Was perfect for our 10 nights. Location is perfect. Nice restaurants around. Close to the attractions, metro and train station. Quiet area.",,,9.0
Flaherty,Australia,Budget Single Room,4 nights ·,May 2024,Solo traveller,Very good,"It was a great location and overall I was very happy staying there. It was clean, good shower pressure and staff were pleasant. Not too expensive.",The room was very small but I did have access to a terrace with lounge chair from my room which was nice. It would be a uncomfortable room for anyone travelling with a lot of luggage.,,8.0
Ronal,Puerto Rico,Budget Double Room,2 nights ·,May 2024,Couple,Excellent location,Location,N/A,,8.0
