name,country,room_type,nr_nights,date,traveler_type,title_review,pos_review,neg_review,score,date_parsed,year,month,full_review_text,review_language,sentiment
Lorraine,United Kingdom,Budget Double Room,7,May 2025,Couple,Excellent. Loved the hotel and porto,"Porto is a big city so lots of locations could be good. We thought ours was perfect. Near enough to walk to everything but not in all the action. Hotel was very querky, a nice vibe. Breakfast was lovely with lots of choice. Staff very friendly and helpful.... especially during the power outage across spain n portugal. Huge bedroom and a sort of dressing room off it. Big bathroom!","The hotel had a roof top bar which we were looking forward to using for a nice early eve drink or when returning at night. We were there a week.... thurs to thurs. It was only open on our last night...wednesday.... a real shame. We did go n sit up there once or twice for some welcome outside space, but no atmosphere with no one there! The road was noisy but if u shut the windows properly you couldnt hear a think.",8.0,2025-05,2025,5,"Porto is a big city so lots of locations could be good. We thought ours was perfect. Near enough to walk to everything but not in all the action. Hotel was very querky, a nice vibe. Breakfast was lovely with lots of choice. Staff very friendly and helpful.... especially during the power outage across spain n portugal. Huge bedroom and a sort of dressing room off it. Big bathroom! The hotel had a roof top bar which we were looking forward to using for a nice early eve drink or when returning at night. We were there a week.... thurs to thurs. It was only open on our last night...wednesday.... a real shame. We did go n sit up there once or twice for some welcome outside space, but no atmosphere with no one there! The road was noisy but if u shut the windows properly you couldnt hear a think.",en,positive
Gary,United States,Deluxe Double Room with Balcony,4,April 2025,Couple,Great if you must be in the center of a huge city; poor value.,"Central location to all amenities: metro, trains, attractions. Nice room, interesting quirky decor.","On a cobbled street with heavy traffic including buses, trucks, loud motorcycles, etc, and revelers into the early hours of morning, so ear plugs almost mandatory for sleep. (Note that we only stay in big cities when there is no alternative), I reserved the room for a long stay months in advance. After arrival I found the room was being offered for 1/3 what I paid.",7.0,2025-04,2025,4,"Central location to all amenities: metro, trains, attractions. Nice room, interesting quirky decor. On a cobbled street with heavy traffic including buses, trucks, loud motorcycles, etc, and revelers into the early hours of morning, so ear plugs almost mandatory for sleep. (Note that we only stay in big cities when there is no alternative), I reserved the room for a long stay months in advance. After arrival I found the room was being offered for 1/3 what I paid.",en,neutral
Haydonsroad,Spain,Budget Double Room,2,April 2025,Group,Superb,"Agradable, original y céntrico.",,9.0,2025-04,2025,4,"Pleasant, original and central.",es,positive
Pavel,France,Triple Room,3,April 2025,Family,Good,Location,A strong smell of chlorine in the room,7.0,2025-04,2025,4,Location A strong smell of chlorine in the room,en,neutral
Pat,Ireland,Triple Room,2,April 2025,Group,Very pleasant and in a great location.,Staff were extremely helpful and pleasant. Exceptionaly clean.,,8.0,2025-04,2025,4,Staff were extremely helpful and pleasant. Exceptionaly clean.,en,positive
Pavan,Switzerland,Two-Bedroom Suite,1,April 2025,Family,overall good,location great room was good(ac not working.. ) breakfast was good,cold,8.0,2025-04,2025,4,location great room was good(ac not working.. ) breakfast was good cold,en,positive
Tom,United Kingdom,Twin Room,4,April 2025,Group,Excellent value for money,Well located. Good room size. Recently refurbished. Friendly staff. Nice breakfast. Fair price,No problems,8.0,2025-04,2025,4,Well located. Good room size. Recently refurbished. Friendly staff. Nice breakfast. Fair price No problems,en,positive
Margaret,Ireland,Budget Single Room,1,April 2025,Solo traveller,Superb,"Staff were very accommodating and helpful as,I was travelling alone and could only speak English.",,9.0,2025-04,2025,4,"Staff were very accommodating and helpful as,I was travelling alone and could only speak English.",en,positive
Anne,Ireland,Budget Double Room,4,April 2025,Couple,City break,Great location,Breakfast choice limited,8.0,2025-04,2025,4,Great location Breakfast choice limited,en,positive
Maarten,Italy,Budget Single Room,1,April 2025,Family,A very pleasant stay,"Friendly and helpful staff, central location",Size of room,9.0,2025-04,2025,4,"Friendly and helpful staff, central location Size of room",en,positive
Weng,Singapore,Budget Double Room,4,April 2025,Group,Superb,,The bathroom for the twin room is too small.,9.0,2025-04,2025,4,The bathroom for the twin room is too small.,en,positive
Ryne,United States,Single Room,1,April 2025,Solo traveller,"Kitschy, beautiful hotel in a good location","Great location near the main metro line, many landmarks and restaurant options, plus walking distance to the river and the shopping areas. The staff were nice, the place has a cool designs and kitschy themes, which really elevates the fun of being here.","No iron or steamer on the property. If you don't like your clothes wrinkled, you're out of luck here. The hotel is at a busy area of multiple bars and restaurants, and the noise from the street was present throughout the night until they closed down. Not completely disruptive, but present.",8.0,2025-04,2025,4,"Great location near the main metro line, many landmarks and restaurant options, plus walking distance to the river and the shopping areas. The staff were nice, the place has a cool designs and kitschy themes, which really elevates the fun of being here. No iron or steamer on the property. If you don't like your clothes wrinkled, you're out of luck here. The hotel is at a busy area of multiple bars and restaurants, and the noise from the street was present throughout the night until they closed down. Not completely disruptive, but present.",en,positive
Anthony,Australia,Budget Single Room,2,April 2025,Solo traveller,Reasonably good value for money and great location,"A nicely located older style hotel that’s probably due a makeover sometime soon. Bed in my budget level room was comfortable, furniture in the room utilitarian chunky brown wood. Random ‘collectables’ scattered throughout some are interesting and some just junk. (15 year old electric rice cooker for example). I observed that there was often some sort of chaos at the check in counter. Could have just been my timing. Staff were quite friendly but seemed a little stressed.",,8.0,2025-04,2025,4,"A nicely located older style hotel that’s probably due a makeover sometime soon. Bed in my budget level room was comfortable, furniture in the room utilitarian chunky brown wood. Random ‘collectables’ scattered throughout some are interesting and some just junk. (15 year old electric rice cooker for example). I observed that there was often some sort of chaos at the check in counter. Could have just been my timing. Staff were quite friendly but seemed a little stressed.",en,positive
Tina,Ireland,Twin Room,3,April 2025,Group,Very good,"Great location, friendly & helpful staff, good breakfast and well organised. Loved the quirky decor! Great shower.",Nothing,8.0,2025-04,2025,4,"Great location, friendly & helpful staff, good breakfast and well organised. Loved the quirky decor! Great shower. Nothing",en,positive
Helen,United Kingdom,Twin Room,4,April 2025,Group,"Comfortable stay, good breakfast.","Quirky hotel. Beds comfortable (firm mattresses but suits me) however very small pillows. Not enough electrical outlets in room. Had to unplug lamps/fridge to charge phones. Kettle and teabags, coffee etc provided but no milk.",,7.0,2025-04,2025,4,"Quirky hotel. Beds comfortable (firm mattresses but suits me) however very small pillows. Not enough electrical outlets in room. Had to unplug lamps/fridge to charge phones. Kettle and teabags, coffee etc provided but no milk.",en,neutral
Jon,United Kingdom,Superior Double Room,3,April 2025,Couple,Characterful Central Hotel,Really friendly staff. Large room. Lots of characterful quirky decor.,,8.0,2025-04,2025,4,Really friendly staff. Large room. Lots of characterful quirky decor.,en,positive
Julia,United Kingdom,Deluxe Double Room with Balcony,4,March 2025,Couple,An unusual and pleasant hotel in a good location to explore Porto.,Excellent location for exploring the city; unusual decor in the public areas. Comfortable room. Also an excellent location for catching the Metro to the airport.,"Bar was closed as it was 'off' season although the hotel seemed busy. This meant there wasn't a nice convivial place to sit. Terrace was also closed so the breakfast room was small and you had to choose a time slot to eat. We'd paid extra for a room with a balcony but didn't realise you couldn't go out onto it, it was really just a window.",8.0,2025-03,2025,3,"Excellent location for exploring the city; unusual decor in the public areas. Comfortable room. Also an excellent location for catching the Metro to the airport. Bar was closed as it was 'off' season although the hotel seemed busy. This meant there wasn't a nice convivial place to sit. Terrace was also closed so the breakfast room was small and you had to choose a time slot to eat. We'd paid extra for a room with a balcony but didn't realise you couldn't go out onto it, it was really just a window.",en,positive
Maria,United States,Budget Double Room,2,March 2025,Solo traveller,Good,"Friendly and helpful front desk staff. Location was excellent for walking to all tourist attractions, restaurants and shopping. Room was clean with basic amenities. Inside the hotel was quiet and elevators ran smoothly. Overall, good value for those of us on a budget",This could have been an oversight when I booked but breakfast was not included in price. Also because of location there is a lot of street noise but I was able to sleep well.,7.0,2025-03,2025,3,"Friendly and helpful front desk staff. Location was excellent for walking to all tourist attractions, restaurants and shopping. Room was clean with basic amenities. Inside the hotel was quiet and elevators ran smoothly. Overall, good value for those of us on a budget This could have been an oversight when I booked but breakfast was not included in price. Also because of location there is a lot of street noise but I was able to sleep well.",en,neutral
Lenka,Canada,Budget Double Room,5,March 2025,Solo traveller,Superb,The staff was super nice and helpful. The esthetics of this place was so much fun. The room and washroom very spacious!,,9.0,2025-03,2025,3,The staff was super nice and helpful. The esthetics of this place was so much fun. The room and washroom very spacious!,en,positive
Jane,Canada,Superior Double Room,3,March 2025,Couple,Overall an excellent place to stay.,"The hotel is in an excellent location, within walking distance to the train station and the centre of town. The room was large and clean although the bed was a little hard. The breakfast was very good. The hotel was full of interesting old curios and the staff were helpful.",The bed was a little hard .,8.0,2025-03,2025,3,"The hotel is in an excellent location, within walking distance to the train station and the centre of town. The room was large and clean although the bed was a little hard. The breakfast was very good. The hotel was full of interesting old curios and the staff were helpful. The bed was a little hard .",en,positive
Beena,United Kingdom,Budget Double Room,3,March 2025,Couple,Very good,"Location, spacious room, and very helpful reception staff.",None except noises from the street at night,8.0,2025-03,2025,3,"Location, spacious room, and very helpful reception staff. None except noises from the street at night",en,positive
Marta,Czech Republic,Twin Room,1,March 2025,Group,Superb,Retro style hotel Location,Not soundproof,9.0,2025-03,2025,3,Retro style hotel Location Not soundproof,en,positive
Omolara,Netherlands,Budget Single Room,2,March 2025,Solo traveller,Comfort,Fine,Location,7.0,2025-03,2025,3,End Location,it,neutral
Matthew,United Kingdom,Budget Double Room,4,March 2025,Couple,Very good,location,,8.0,2025-03,2025,3,location,en,positive
Greg,New Zealand,Budget Single Room,3,March 2025,Solo traveller,Very good,Good sized room Helpful staff,Lot of outside noise,9.0,2025-03,2025,3,Good sized room Helpful staff Lot of outside noise,en,positive
Zinovia,United Kingdom,Budget Double Room,4,March 2025,Couple,Great stay would choose again,"Location, size of rooms, fantastic bathroom, decent breakfast",The shower was leaking,9.0,2025-03,2025,3,"Location, size of rooms, fantastic bathroom, decent breakfast The shower was leaking",en,positive
Shauna,France,Basic Double Room,5,February 2025,Couple,Very good,Very good breakfast and the location was ideal for us,,8.0,2025-02,2025,2,Very good breakfast and the location was ideal for us,en,positive
Alex,Israel,Budget Double Room,2,March 2025,Solo traveller,Superb,"The location is great. The stuff is very pleasant and nice. The vides are good,with nice design :)",The inside noises cancellation is bad as the building is old with wood doors.,9.0,2025-03,2025,3,"The location is great. The stuff is very pleasant and nice. The vides are good,with nice design :) The inside noises cancellation is bad as the building is old with wood doors.",en,positive
Ayunia,United States,Single Room,2,March 2025,Solo traveller,Good,Great location,Room very small,7.0,2025-03,2025,3,Great location Room very small,en,neutral
Rosa,Brazil,Single Room,1,March 2025,Solo traveller,Good,"Great location !!! Nearby restaurants , buses and cafés !!! The staff was very friendly !! I complain about the first room that they gave me and they gave me another one with bigger windows!!! The breakfast is good !!!",They pre charged as an secure deposit in case of a non show !! The thing was I made reservation and check in on the same day !!! And had to pay again at the check in !!! Even though they cancelled the secure deposit it takes 10 to 15 days to go back to your account!!! That’s outrageous!!!! They should charged full amount only AFTER OR IF people don’t show up !!!,7.0,2025-03,2025,3,"Great location !!! Nearby restaurants , buses and cafés !!! The staff was very friendly !! I complain about the first room that they gave me and they gave me another one with bigger windows!!! The breakfast is good !!! They pre charged as an secure deposit in case of a non show !! The thing was I made reservation and check in on the same day !!! And had to pay again at the check in !!! Even though they cancelled the secure deposit it takes 10 to 15 days to go back to your account!!! That’s outrageous!!!! They should charged full amount only AFTER OR IF people don’t show up !!!",en,neutral
Ewa,Poland,Twin Room,1,March 2025,Group,Superb,"The hotel have a lot of things from the past (on the corridor, reception, etc.), so it looks a little bit like museum. It's very original place. I recommend the visit - walk by floor is like a travel through past :-) It can be very interesting, especially for young people and children. The bathroom was big. The electric pot in the room is a good idea. The breakfast was very good - all was fresh and the staff takes care about cleaning tables.","It was from the corridor and a little bit from the street. The hotel was full so we have to declare the time of our breakfast the day before so it can be a little bit uncomfortable for someone, but for us it was OK.",9.0,2025-03,2025,3,"The hotel have a lot of things from the past (on the corridor, reception, etc.), so it looks a little bit like museum. It's very original place. I recommend the visit - walk by floor is like a travel through past :-) It can be very interesting, especially for young people and children. The bathroom was big. The electric pot in the room is a good idea. The breakfast was very good - all was fresh and the staff takes care about cleaning tables. It was from the corridor and a little bit from the street. The hotel was full so we have to declare the time of our breakfast the day before so it can be a little bit uncomfortable for someone, but for us it was OK.",en,positive
Ashton,United States,Budget Double Room,3,March 2025,Couple,Good,Location,,9.0,2025-03,2025,3,Location,en,positive
Terence,Portugal,Budget Double Room,3,February 2025,Couple,Fabulous location with a great breakfast.,In old centre. Breakfasts were great.,Difficult to find the parking garage.,8.0,2025-02,2025,2,In old centre. Breakfasts were great. Difficult to find the parking garage.,en,positive
Katharina,Austria,Budget Single Room,1,February 2025,Solo traveller,Superb,"Amazing location for daytrips in Porto. The hotel is close to Porto Sao Bento (approx 12 min walking distance). No problem to store the luggage there in case to arrive early, or leave it there after check out in case you still have some time to explore the city. The staff is very friendly and supportive. The location of the hotel allows you to explore Porto very conveniently. The room was clean and the bed was super comfy. Some reviews complained about the key policy, but to me this was no issue. I rather enjoyed it for the change to leave the key at the reception (no worries of losing it!). Also there is always staff at the reception so no worries there. All in all i can highly recommend this hotel as its great value for money. Would definitely book again.","Cannot think of anything - maybe rather thin walls / the doors do not isulate well the outside noise but here (if needed) earplugs might help. But to me this was a minor ""issue"" . You do anyway a lot of exploring during the day/night ;)",9.0,2025-02,2025,2,"Amazing location for daytrips in Porto. The hotel is close to Porto Sao Bento (approx 12 min walking distance). No problem to store the luggage there in case to arrive early, or leave it there after check out in case you still have some time to explore the city. The staff is very friendly and supportive. The location of the hotel allows you to explore Porto very conveniently. The room was clean and the bed was super comfy. Some reviews complained about the key policy, but to me this was no issue. I rather enjoyed it for the change to leave the key at the reception (no worries of losing it!). Also there is always staff at the reception so no worries there. All in all i can highly recommend this hotel as its great value for money. Would definitely book again. Cannot think of anything - maybe rather thin walls / the doors do not isulate well the outside noise but here (if needed) earplugs might help. But to me this was a minor ""issue"" . You do anyway a lot of exploring during the day/night ;)",en,positive
Carvalho,Brazil,Budget Double Room,1,February 2025,Couple,Good,"Great BreakFest,",Museum like theme.. some times they confuse vintage itens (really interesting) with old creepy itens.,7.0,2025-02,2025,2,"Great BreakFest, Museum like theme.. some times they confuse vintage itens (really interesting) with old creepy itens.",en,neutral
Lesley,United Kingdom,Budget Double Room,3,February 2025,Couple,Excellent value for money,Location,Hard mattress,8.0,2025-02,2025,2,Location Hard mattress,en,positive
Swagat,Luxembourg,Budget Double Room,3,February 2025,Couple,Very good,The location was immaculate and the decoration of the hotel was very good,The breakfast options could have been more varied,8.0,2025-02,2025,2,The location was immaculate and the decoration of the hotel was very good The breakfast options could have been more varied,en,positive
Da,Portugal,Budget Double Room,1,February 2025,Couple,Superb,The staff,"Our room was smelling cigarette, I knew that was not allowed, but it was smelling cigarette.",9.0,2025-02,2025,2,"The staff Our room was smelling cigarette, I knew that was not allowed, but it was smelling cigarette.",en,positive
Bretalisa,United States,Double Room with Terrace,3,February 2025,Couple,Superb,The room was great and we really loved having the balcony so we could watch the Sun and also see the seagulls! There was lots of hot water and breakfast was awesome,The only if she had was that the bed seem to be extremely stiff. My wife got an extra blanket and put it under the sheets and that worked like a charm! We suspected that the mattress is actually upside down but we didn't have a long stay so we didn't report it.,9.0,2025-02,2025,2,The room was great and we really loved having the balcony so we could watch the Sun and also see the seagulls! There was lots of hot water and breakfast was awesome The only if she had was that the bed seem to be extremely stiff. My wife got an extra blanket and put it under the sheets and that worked like a charm! We suspected that the mattress is actually upside down but we didn't have a long stay so we didn't report it.,en,positive
Elaine,United Kingdom,Budget Double Room,3,February 2025,Couple,Great retro hotel in excellent location. Would recommend,"Quirky, retro hotel. Very comfortable. Great location and really nice and helpful staff",Barh shape made it slippery when getting in and out. Breakfast could be better,9.0,2025-02,2025,2,"Quirky, retro hotel. Very comfortable. Great location and really nice and helpful staff Barh shape made it slippery when getting in and out. Breakfast could be better",en,positive
Markaya,Belgium,Budget Double Room,2,February 2025,Solo traveller,Good,"Staff were largely friendly and helpful, great location near transport and the centre.","I requested a late check out for a business meeting. I asked at first for 2.5 hours but then asked again for only 1. After multiple requests, one staff said I could stay an extra 30 minutes. The next day, staff called the room repeatedly to tell me to leave despite this. There was no other quiet area to accommodate my needs. Had I known they would be so inflexible, I would have booked elsewhere. I wouldn't recommend staying here in case something comes up and you need extra time because of illness, work, or simply for convenience as most other hotels accommodate. If you stay to 12:00 on the dot, you can expect an immediate phone call to push you out.",7.0,2025-02,2025,2,"Staff were largely friendly and helpful, great location near transport and the centre. I requested a late check out for a business meeting. I asked at first for 2.5 hours but then asked again for only 1. After multiple requests, one staff said I could stay an extra 30 minutes. The next day, staff called the room repeatedly to tell me to leave despite this. There was no other quiet area to accommodate my needs. Had I known they would be so inflexible, I would have booked elsewhere. I wouldn't recommend staying here in case something comes up and you need extra time because of illness, work, or simply for convenience as most other hotels accommodate. If you stay to 12:00 on the dot, you can expect an immediate phone call to push you out.",en,neutral
Jmaresq,Austria,Budget Single Room,4,February 2025,Solo traveller,Good,Location is very good.,One could hear the other guests as the doors are very thin.,7.0,2025-02,2025,2,Location is very good. One could hear the other guests as the doors are very thin.,en,neutral
Doporto,Spain,Budget Double Room,2,February 2025,Couple,Good,The price and location,"The breakfast was ok, but i would have enjoyed if it had had more kinds of food",7.0,2025-02,2025,2,"The price and location The breakfast was ok, but i would have enjoyed if it had had more kinds of food",en,neutral
Js,United Kingdom,Superior Double Room,2,January 2025,Couple,Superb,Everything,Nothing,9.0,2025-01,2025,1,Everything Nothing,en,positive
Andrea,Germany,Budget Double Room,1,January 2025,Solo traveller,Superb,Cutest hotel and people. obrigado,,9.0,2025-01,2025,1,Cutest hotel and people. obrigado,en,positive
Darren,United Kingdom,Budget Double Room,2,January 2025,Couple,Only place to stay in Porto,Great staff and breakfast,Quiet central,9.0,2025-01,2025,1,Great staff and breakfast Quiet central,en,positive
Christopher,United Kingdom,Budget Single Room,2,January 2025,Solo traveller,"Convenient , Comfy, Quirky Hotel . Loved it",Well located for all the sights and close by to some great bars restaurants and coffee shops. It has some really quirky items on display around the hotel which I really liked. Staff are helpful and engaging . I had booked a single but got a large double room with a great shower . Very happy and would recommend and will stay again.,Nothing,8.0,2025-01,2025,1,Well located for all the sights and close by to some great bars restaurants and coffee shops. It has some really quirky items on display around the hotel which I really liked. Staff are helpful and engaging . I had booked a single but got a large double room with a great shower . Very happy and would recommend and will stay again. Nothing,en,positive
Iana,Malta,Basic Double Room,1,January 2025,Couple,Good,"After reading reviews we had some expectations. Design is unique, retro museum. But then we had to struggle with water in our room, the toilet didn’t flush and it was very awkward - calling for help after doing your little business there, you know. They said “the water was closed”, so casually, like we were supposed to know it and then to find a way to open it. Dental kit was not provided. AC didn’t work for heating. After asking at the reception, they sent someone to fix it, but nothing changed, we had to turn on the old school heater. Luckily it worked and it wasn’t cold in the room. In general it wasn’t bad. But we wouldn’t stay again.",,7.0,2025-01,2025,1,"After reading reviews we had some expectations. Design is unique, retro museum. But then we had to struggle with water in our room, the toilet didn’t flush and it was very awkward - calling for help after doing your little business there, you know. They said “the water was closed”, so casually, like we were supposed to know it and then to find a way to open it. Dental kit was not provided. AC didn’t work for heating. After asking at the reception, they sent someone to fix it, but nothing changed, we had to turn on the old school heater. Luckily it worked and it wasn’t cold in the room. In general it wasn’t bad. But we wouldn’t stay again.",en,neutral
Karen,Ireland,Deluxe Double Room with Balcony,1,November 2024,Couple,Quirky Hotel,This hotel is very unique with lots of memorabilia on every floor. The hotel was quiet and the staff was helpful. Paid parking is down the block. Good location for walking. Some nice restaurants nearby.,"There is no place to drop off/park in front of the hotel. This is very inconvenient as you need to go in to find out where to park. Our A/C did not work. The two elevators can be quite busy in the morning and you have to wait awhile, (or take the 6 flights of stairs like we did!)",7.0,2024-11,2024,11,"This hotel is very unique with lots of memorabilia on every floor. The hotel was quiet and the staff was helpful. Paid parking is down the block. Good location for walking. Some nice restaurants nearby. There is no place to drop off/park in front of the hotel. This is very inconvenient as you need to go in to find out where to park. Our A/C did not work. The two elevators can be quite busy in the morning and you have to wait awhile, (or take the 6 flights of stairs like we did!)",en,neutral
Ferah,Turkey,Basic Double Room,3,January 2025,Couple,Very good,Good location with a great terrace. The hotel was full of vintage artifacts.,,8.0,2025-01,2025,1,Good location with a great terrace. The hotel was full of vintage artifacts.,en,positive
Stellan,United Kingdom,Budget Double Room,4,January 2025,Couple,Superb,Excellent location. Very clean hotel staff very friendly Good value for money,Bed was a little hard,9.0,2025-01,2025,1,Excellent location. Very clean hotel staff very friendly Good value for money Bed was a little hard,en,positive
Alexander,Sweden,Budget Single Room,1,January 2025,Solo traveller,Good,Location really great!,Single room was very small. But that’s what I booked so no complaining haha!,7.0,2025-01,2025,1,Location really great! Single room was very small. But that’s what I booked so no complaining haha!,en,neutral
Burak,Turkey,Budget Single Room,1,January 2025,Solo traveller,Very good,There is very good location,There is wifi not good actually also breakfast was not eneugh.,8.0,2025-01,2025,1,There is very good location There is wifi not good actually also breakfast was not eneugh.,en,positive
Peter,Netherlands,Budget Double Room,3,January 2025,Couple,"Small room, nice location","Location, funny interior in the staircase.","Small room, Small bed if you are >1.90m. No coffee in room. Door does not isolate noise from hall.",7.0,2025-01,2025,1,"Location, funny interior in the staircase. Small room, Small bed if you are >1.90m. No coffee in room. Door does not isolate noise from hall.",en,neutral
Michael,United Kingdom,Family Suite,1,December 2024,Family,Very good,Great location and breakfast. Nice staff and massive bedroom.,The fact that the room key had to be left and picked up from reception each time.,8.0,2024-12,2024,12,Great location and breakfast. Nice staff and massive bedroom. The fact that the room key had to be left and picked up from reception each time.,en,positive
Juan,Portugal,Budget Double Room,4,December 2024,Couple,Estadia óptima no centro do porto,A decoração do hotel,Parecia mais novo nas fotos,8.0,2024-12,2024,12,The hotel decor looked newer in the photos,pt,positive
Garry,United Kingdom,Budget Double Room,3,December 2024,Couple,Good,Great,Room a bit dated,7.0,2024-12,2024,12,Great Room a bit dated,en,neutral
Ricardo,Portugal,Budget Double Room,4,November 2024,Couple,"You should visit Porto, and Pao de Acucar Hotel is a great place to stay.","Everything. But especially the Location, staff, and good breakfast (always being refiled).",,9.0,2024-11,2024,11,"Everything. But especially the Location, staff, and good breakfast (always being refiled).",en,positive
Morteza,Netherlands,Budget Single Room,7,December 2024,Solo traveller,Great value for money,"Staff are great, super helpful, approachable and quick. The local was also amazing, so many bus stops and metro around.",The staff communicate with each other with walkie talkies. You can hear it from rooms during morning while the cleaning is taking place.,8.0,2024-12,2024,12,"Staff are great, super helpful, approachable and quick. The local was also amazing, so many bus stops and metro around. The staff communicate with each other with walkie talkies. You can hear it from rooms during morning while the cleaning is taking place.",en,positive
Marta,Portugal,Family Suite,1,December 2024,Family,Very good,"Staff, location, breakfast, cleanliness",Nothing,8.0,2024-12,2024,12,"Staff, location, breakfast, cleanliness Nothing",en,positive
Hsu,United States,Budget Double Room,2,December 2024,Solo traveller,My stay was fantastic due to the unbeatable location and exceptional service,"The location is simply unbeatable – with the metro station just a stone's throw away and several key attractions (City Hall, the most beautiful McDonald, Livraria Lello etc) within walking distance, it made exploring the city incredibly convenient. What truly made my stay special was the welcoming and friendly staff. They were always ready with a smile. The room itself was spotless and well-maintained. It was clear that attention to detail was a priority here, with comfortable bedding and all the necessary amenities for a pleasant stay. After a day of exploring, coming back to such a clean and cozy space was the perfect end to my day. Overall, I would highly recommend this lodging to anyone visiting Porto. Its prime location, exceptional service, and clean, comfortable rooms make it an ideal choice for travelers.","While my overall experience was fantastic, there was one aspect that I found a bit inconvenient. The hotel requires guests to return their room key to the counter each time they leave. While I understand the security benefits, it did feel like an unnecessary step that added a slight hassle to an otherwise smooth stay. It would be more convenient if guests could retain their keys for the duration of their stay with something they won't be able to replicate in key shops.",8.0,2024-12,2024,12,"The location is simply unbeatable – with the metro station just a stone's throw away and several key attractions (City Hall, the most beautiful McDonald, Livraria Lello etc) within walking distance, it made exploring the city incredibly convenient. What truly made my stay special was the welcoming and friendly staff. They were always ready with a smile. The room itself was spotless and well-maintained. It was clear that attention to detail was a priority here, with comfortable bedding and all the necessary amenities for a pleasant stay. After a day of exploring, coming back to such a clean and cozy space was the perfect end to my day. Overall, I would highly recommend this lodging to anyone visiting Porto. Its prime location, exceptional service, and clean, comfortable rooms make it an ideal choice for travelers. While my overall experience was fantastic, there was one aspect that I found a bit inconvenient. The hotel requires guests to return their room key to the counter each time they leave. While I understand the security benefits, it did feel like an unnecessary step that added a slight hassle to an otherwise smooth stay. It would be more convenient if guests could retain their keys for the duration of their stay with something they won't be able to replicate in key shops.",en,positive
Nicole,Brazil,Budget Double Room,1,December 2024,Couple,Very nice hotel,Very nice location and staff. Facilities were very clean and with a nice scent.,,9.0,2024-12,2024,12,Very nice location and staff. Facilities were very clean and with a nice scent.,en,positive
Vas_kout_gr,Greece,Budget Double Room,1,December 2024,Couple,Travel back to time,A unique atmosphere. Great breakfast.,,8.0,2024-12,2024,12,A unique atmosphere. Great breakfast.,en,positive
Murilo,Brazil,Triple Room,1,December 2024,Family,"Big room, renovated bathroom and elevator","The room was big with two double beds, fully renovated bathroom, elevator is something that is not very common for the area considering the price. Did not had breakfast so can’t comment about it.",Nothing came up very strong but the key being a giant fob and having to return every time you go out.,9.0,2024-12,2024,12,"The room was big with two double beds, fully renovated bathroom, elevator is something that is not very common for the area considering the price. Did not had breakfast so can’t comment about it. Nothing came up very strong but the key being a giant fob and having to return every time you go out.",en,positive
Mervenur,Germany,Budget Double Room,3,November 2024,Group,Sehr gute Wahl für 3 Tage touristischem aufenthalt in Porto!,The Hotel was in the center of everything. We didntl used any metro. We could walk everywhere in 10 min Walkingdistances or 3€ Uber rights. That was the perfect location for Porto!,"We had do give up everytime the key for the room, so its a bit exhausting to give and take it everytime if you leave the hotel.",9.0,2024-11,2024,11,"The Hotel was in the center of everything. We didntl used any metro. We could walk everywhere in 10 min Walkingdistances or 3€ Uber rights. That was the perfect location for Porto! We had do give up everytime the key for the room, so its a bit exhausting to give and take it everytime if you leave the hotel.",en,positive
Smita,India,Twin Room,1,December 2024,Couple,Good place to stay in Porto. Excellent location.,"Location, room, access to the metro station",WiFi was weak,8.0,2024-12,2024,12,"Location, room, access to the metro station WiFi was weak",en,positive
Robert,United States,Superior Double Room,2,November 2024,Couple,Superb,"Great location, quirky theme, clean and spacious room.",,9.0,2024-11,2024,11,"Great location, quirky theme, clean and spacious room.",en,positive
Jayne,United Kingdom,Budget Single Room,1,November 2024,Solo traveller,"Quirky hotel in the centre of Oporto, friendly and helpful staff, great value for money.","Staff were very welcoming and helpful. The location and value for money was excellent. I loved the quirky, 1970's vibe and memorabilia dotted around. Breakfast had an excellent selection, I would definitely stay here again.",,9.0,2024-11,2024,11,"Staff were very welcoming and helpful. The location and value for money was excellent. I loved the quirky, 1970's vibe and memorabilia dotted around. Breakfast had an excellent selection, I would definitely stay here again.",en,positive
Jane,Ireland,Budget Single Room,2,November 2024,Solo traveller,Good central location,Central,A lot of single use plastic Towels weren’t great Lamp in the room had a broken cable- could be dangerous,8.0,2024-11,2024,11,Central A lot of single use plastic Towels weren’t great Lamp in the room had a broken cable- could be dangerous,en,positive
Halyna,United Kingdom,Single Room,4,November 2024,Couple,Great location and very friendly staff,Breakfast was very good except for the coffee.,Bed mattress was hard.,8.0,2024-11,2024,11,Breakfast was very good except for the coffee. Bed mattress was hard.,en,positive
